id,identity,kind,location,managedBy,name,plan,properties,resourceGroup,sku/capacity,sku/family,sku/model,sku/name,sku/size,sku/tier,tags/costcentre,tags/environment,tags/live,type,sku,tags,tags/hidden-link:/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/HoylakeADF,tags/hidden-link:/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Logic/workflows/EODStoreListSITApp,tags/hidden-link:/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourcegroups/Hoylake/providers/microsoft.insights/components/Dev-JSPartnerAPI,tags/hidden-link:/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourcegroups/Hoylake/providers/microsoft.insights/components/Dev-JSPartnerAPIForVersioning,tags/hidden-link:/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Logic/workflows/FlatternXmlTotables-SITD2,tags/hidden-link:/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Logic/workflows/FlatternXmlToTables-DevD2-App,plan/name,plan/product,plan/promotionCode,plan/publisher
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/disks/WholesalehgVM2_OsDisk_1_4880d1aa52a542f79e5d4a221fa476c0,,,westeurope,/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/WholesalehgVM2,WholesalehgVM2_OsDisk_1_4880d1aa52a542f79e5d4a221fa476c0,,,HOYLAKE,,,,Premium_LRS,,Premium,,,,Microsoft.Compute/disks,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/hoylake/providers/Microsoft.Compute/restorePointCollections/AzureBackup_jshoylakedevvm3,,,westeurope,,AzureBackup_jshoylakedevvm3,,,hoylake,,,,,,,,,,Microsoft.Compute/restorePointCollections,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/hoylake/providers/Microsoft.Compute/restorePointCollections/AzureBackup_jshoylaketest1,,,westeurope,,AzureBackup_jshoylaketest1,,,hoylake,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/restorePointCollections,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/restorePointCollections/AzureBackup_JSWholeSaleHgVM,,,westeurope,,AzureBackup_JSWholeSaleHgVM,,,Hoylake,,,,,,,,,,Microsoft.Compute/restorePointCollections,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/restorePointCollections/AzureBackup_WholesalehgVM2,,,westeurope,,AzureBackup_WholesalehgVM2,,,Hoylake,,,,,,,,,,Microsoft.Compute/restorePointCollections,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/ChangeHgAvlVM,,,westeurope,,ChangeHgAvlVM,,,Hoylake,,,,,,,,,,Microsoft.Compute/virtualMachines,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/virtualMachines/ChangeHgAvlVM/extensions/MicrosoftMonitoringAgent,,,westeurope,,ChangeHgAvlVM/MicrosoftMonitoringAgent,,,HOYLAKE,,,,,,,,,,Microsoft.Compute/virtualMachines/extensions,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/HgCheckVM1,,,westeurope,,HgCheckVM1,,,Hoylake,,,,,,,,,,Microsoft.Compute/virtualMachines,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/virtualMachines/HgCheckVM1/extensions/MicrosoftMonitoringAgent,,,westeurope,,HgCheckVM1/MicrosoftMonitoringAgent,,,HOYLAKE,,,,,,,,,,Microsoft.Compute/virtualMachines/extensions,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/HoylakeADF,,,westeurope,,HoylakeADF,,,Hoylake,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/virtualMachines/HoylakeADF/extensions/IaaSAntimalware,,,westeurope,,HoylakeADF/IaaSAntimalware,,,HOYLAKE,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines/extensions,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/virtualMachines/HoylakeADF/extensions/MicrosoftMonitoringAgent,,,westeurope,,HoylakeADF/MicrosoftMonitoringAgent,,,HOYLAKE,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines/extensions,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/hoylake/providers/Microsoft.Compute/virtualMachines/hoylakeadf/extensions/VMSnapshot,,,westeurope,,hoylakeadf/VMSnapshot,,,hoylake,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines/extensions,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/hoylakevm,,,westeurope,,hoylakevm,,,Hoylake,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/virtualMachines/hoylakevm/extensions/MicrosoftMonitoringAgent,,,westeurope,,hoylakevm/MicrosoftMonitoringAgent,,,HOYLAKE,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines/extensions,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/hoylake/providers/Microsoft.Compute/virtualMachines/hoylakevm/extensions/VMSnapshot,,,westeurope,,hoylakevm/VMSnapshot,,,hoylake,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines/extensions,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/JSDEVVMBackup,,,westeurope,,JSDEVVMBackup,,,Hoylake,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/virtualMachines/JSDEVVMBackup/extensions/MicrosoftMonitoringAgent,,,westeurope,,JSDEVVMBackup/MicrosoftMonitoringAgent,,,HOYLAKE,,,,,,,,,,Microsoft.Compute/virtualMachines/extensions,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/jshoylakedev1,,,westeurope,,jshoylakedev1,,,Hoylake,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/virtualMachines/jshoylakedev1/extensions/MicrosoftMonitoringAgent,,,westeurope,,jshoylakedev1/MicrosoftMonitoringAgent,,,HOYLAKE,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines/extensions,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/hoylake/providers/Microsoft.Compute/virtualMachines/jshoylakedev1/extensions/VMSnapshot,,,westeurope,,jshoylakedev1/VMSnapshot,,,hoylake,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines/extensions,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/jshoylakedev2,,,westeurope,,jshoylakedev2,,,Hoylake,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/virtualMachines/jshoylakedev2/extensions/MicrosoftMonitoringAgent,,,westeurope,,jshoylakedev2/MicrosoftMonitoringAgent,,,HOYLAKE,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines/extensions,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/hoylake/providers/Microsoft.Compute/virtualMachines/jshoylakedev2/extensions/VMSnapshot,,,westeurope,,jshoylakedev2/VMSnapshot,,,hoylake,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines/extensions,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/Hoylake/providers/Microsoft.Compute/virtualMachines/jshoylakedevVM2,,,westeurope,,jshoylakedevVM2,,,Hoylake,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines,,,,,,,,,,,,
/subscriptions/8d74bfbe-15e1-43d1-8272-423e37441789/resourceGroups/HOYLAKE/providers/Microsoft.Compute/virtualMachines/jshoylakedevVM2/extensions/MicrosoftMonitoringAgent,,,westeurope,,jshoylakedevVM2/MicrosoftMonitoringAgent,,,HOYLAKE,,,,,,,Shared_ PD5469_ PD6228,DEV/TEST,Yes,Microsoft.Compute/virtualMachines/extensions,,,,,,,,,,,,
